,Unnamed: 0,npo02__LastCloseDate__c,npo02__FirstCloseDate__c,AccountNumber,Id,npo02__LastOppAmount__c,npo02__OppAmountThisYear__c,npo02__OppAmountLastYear__c,npo02__TotalOppAmount__c,npo02__OppAmount2YearsAgo__c,npo02__NumberOfClosedOpps__c,npo02__LargestAmount__c,npo02__SmallestAmount__c,npo02__AverageAmount__c,Total_Gifts_This_Year_as_of_Last_Year__c,Account Record Type,First_Gift_Year__c,Last_Close_Month,AccountId,amount_min,amount_max,amount_mean,start_year,latest_year,first_month,avg_month,latest_month,amount_total,non_zero_counts,this_year_non_zero_counts,this_year_amount_total,this_year_amount_mean,prev_year_non_zero_counts,prev_year_amount_total,prev_year_amount_mean,account_age,dormancy_years,average_total_donation,average_time_between_donation,amount_total_percentiles,non_zero_counts_percentiles,dormancy_years_percentiles,persona,group
263,263,2023-11-23,2025-11-05,mydCxHODWlQJzTjhSVlvAEsdsjNpklZdyUKbgcgc,UccYaFZDZHrMAFeobJNrvAiKOodBwlBvBwKJIpBc,96801.22,81886.94,47933.6,99382.21,71423.76,43966.24,14476.02,58419.99,16320.04,92.35,religious institution,2025,11,,,,,,,,,,,,,,,,,,,,,,,,,,
264,264,2023-08-26,2024-02-09,XtMaOZxVnwJJvQEjJYsNXGjjjyzsmuxHDOGTQdYq,dRPFNBxVRmXHOOIrXNCqxSiIelzMkqimyUCsXPhQ,85374.83,2200.73,22883.87,80428.48,29265.17,64377.02,6050.72,19222.1,64434.61,10.23,temple,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,2025-03-24,2023-08-29,JQZOeRarsqgNtQWbfbceGkeolfwjxdsfHpsKMlqE,oKoxHResCeLPArgtOtIAMeRHzuOlJrrLGinilcMP,41859.6,9712.33,51296.86,5891.03,49103.75,82733.92,4038.7,10801.35,94845.84,36.6,church,2023,3,oKoxHResCeLPArgtOtIAMeRHzuOlJrrLGinilcMP,97875.78,97875.78,97875.78,2025.0,2025.0,6.0,6.0,6.0,97875.78,1.0,,,,,,,0.0,0.0,inf,inf,0.923162583518931,0.4510022271714922,0.10523385300668152,Gary,Gold
266,266,2025-04-24,2024-08-03,FlRjoPOpcfnAnPtxUyhDgnoRJPSOGsURjMyNtnoz,qJAKsvUqWVOrSHWJyHODXBVCLCvTenTlKSAjvLfR,62462.42,14094.52,50279.42,44109.71,42069.75,11406.82,9968.31,37363.05,19865.88,65.13,yellow passion fruit,2024,4,qJAKsvUqWVOrSHWJyHODXBVCLCvTenTlKSAjvLfR,95564.3,95564.3,95564.3,2025.0,2025.0,10.0,10.0,10.0,95564.3,1.0,,,,,,,0.0,0.0,inf,inf,0.8975501113585747,0.4510022271714922,0.10523385300668152,Gary,Gold
267,267,2024-04-01,2025-11-23,aUBjswKEkMIUzbnIkbwuRNJjigKIZmAfwuwVZJIa,cjwRbfEXbekXIqeMxxTQvkYtZkabmdpXpeskWnRV,49022.94,24476.12,5791.24,68238.22,78180.81,87725.46,75230.73,59609.08,17551.39,23.18,religious institution,2025,4,,,,,,,,,,,,,,,,,,,,,,,,,,
268,268,2024-08-05,2025-05-15,chmJUtrShZQModtuJSWTUrBaaWgRSHlgPxdLzDZL,TlvDtuiBexjgVpCJHhaZZfosMvanhezCZccJLWMn,75097.83,42495.36,92271.15,65660.11,64696.01,10220.25,45617.81,22763.51,24031.12,38.44,watermelon,2025,8,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,2023-06-29,2023-09-09,kEcEqhluePpuMhqfcRjxUwqfogcILgqWPMuEHpwh,djvZzYFVbMXHIgWPLqyWlpqeNTbIMevUnjcRdyuR,8782.96,11263.62,90974.07,49936.5,42149.35,28590.94,5121.41,72279.44,17347.1,79.26,xigua,2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,
270,270,2024-07-14,2024-04-12,ScTcXVxWiHdEiBJlcKkFYydmgnqKeTUoCVeaLdef,gZIDvbLslalvtLCRsmyFUtWbhoCJSSOUeRHWZRRP,71904.16,16172.41,94115.16,48532.83,22048.11,70170.04,29294.42,42066.55,1116.43,29.71,xigua,2024,7,,,,,,,,,,,,,,,,,,,,,,,,,,
271,271,2025-10-17,2023-06-21,zSWbYNvAepYKXmupMMijQkMFHqfzshqaetyRCSUr,PUbSLBYvgReqFEDVxutgPPYjyArdfuNOwceTYdfs,28562.4,11398.14,48020.41,51082.66,92567.35,55515.13,82286.27,97529.1,15397.7,83.28,religious institution,2023,10,PUbSLBYvgReqFEDVxutgPPYjyArdfuNOwceTYdfs,41715.3,50598.17,46156.735,2024.0,2024.0,7.0,9.0,11.0,92313.47,2.0,2.0,92313.47,46156.735,,,,1.0,1.0,92313.47,2.0,0.8630289532293987,0.9454342984409799,0.26447661469933187,Gary,Gold
272,272,2024-01-13,2025-08-06,UpPhGIBwTipmKAUHIgemMiXawiFXEWjaaVENjajl,WbxvJJXpMckhmHzivcPfaqpIRCNnKoErXHYnKkPT,61330.9,53871.39,60604.18,55143.65,1867.1,90209.43,38109.79,54166.27,31677.6,20.6,church,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,2025-03-23,2024-07-05,rkNVKeuKAgpiItXEQfbibxKYntslvGbDquzVhYrB,xTYHrSVAvoSymPNWCichUGReXJSiDgZbMGgMkzpF,44823.78,95798.25,83554.12,62847.77,45250.16,88561.19,33733.05,8132.67,7960.04,82.26,yellow passion fruit,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,,
274,274,2024-07-20,2025-05-16,hpLpIPyNldLcDFuNpSBzRrazCbkhoHWFqqmgPLbA,mQJNbcWRPxJlKWeDsZgzQGYMYNhwlOXDXCjRlnEj,14799.05,21030.32,3455.85,91134.98,73520.05,41672.46,43583.5,12422.35,66470.7,97.8,religious institution,2025,7,mQJNbcWRPxJlKWeDsZgzQGYMYNhwlOXDXCjRlnEj,37501.48,37501.48,37501.48,2021.0,2021.0,4.0,4.0,4.0,37501.48,1.0,,,,,,,4.0,4.0,9375.37,0.25,0.33184855233853006,0.4510022271714922,0.7065701559020044,Peter,Orange
275,275,2024-02-26,2023-10-18,syGfqJfyjiqrBlZGMXoMCyTTcRvjSslLdWRAOtOH,eytRqbEBjGadGDZdjwcFyDwJzukTWRytKFoVZYQJ,86145.55,95321.72,19128.78,58074.21,36314.59,72738.54,54738.37,50441.61,19687.22,29.43,church,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,
276,276,2026-03-05,2025-09-10,cuDkhSslpyxwidxBHwpvYOxftJFGuboArsAmLYzu,sjYaYsIecINHzyvFhzUpCzHWxZAwsgMEbptTmSAL,27376.64,21182.67,96299.19,19301.82,77689.33,56256.15,43233.21,62453.04,78367.79,15.78,yellow passion fruit,2025,3,,,,,,,,,,,,,,,,,,,,,,,,,,
277,277,2024-05-14,2024-12-31,okMkAvgsvtlOIFhmCUGrtvCIRFgoTBeTuspYbZIf,yqRQhALgwbcVekvvLOzweqBnvnYPCGLyyoTrumQN,36657.05,69030.72,63717.75,94361.94,55544.2,47477.7,34935.09,44442.74,17675.09,53.13,temple,2024,5,yqRQhALgwbcVekvvLOzweqBnvnYPCGLyyoTrumQN,591.85,591.85,591.85,2023.0,2023.0,10.0,10.0,10.0,591.85,1.0,,,,1.0,591.85,591.85,2.0,2.0,295.925,0.5,0.0066815144766146995,0.4510022271714922,0.41648106904231624,Yara,Light Blue
278,278,2024-10-29,2025-04-26,ubkVEZeNbhoXYxNlGsXDUcZhfwtDveGrspvBySPw,DelRBZKWNezHxIUWOtnulopFIelRuEcnYXjJkmYC,65493.32,62362.76,751.85,2564.27,95466.17,41219.45,17471.34,41251.66,60649.67,69.47,zucchini,2025,10,DelRBZKWNezHxIUWOtnulopFIelRuEcnYXjJkmYC,2952.36,2952.36,2952.36,2025.0,2025.0,10.0,10.0,10.0,2952.36,1.0,,,,,,,0.0,0.0,inf,inf,0.024498886414253896,0.4510022271714922,0.10523385300668152,Yara,Light Blue
279,279,2025-11-08,2024-05-29,NzVrIVszkaDJzNwtUBHKkhrBVlqehOUDzhJTHRda,MZiKVIhZgetfurJTdJHSmzcrPJJAmOjAzQpFRcta,53654.67,69610.44,39493.36,50738.26,9151.78,47759.97,31469.75,5876.77,47723.55,66.28,zucchini,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,
280,280,2024-12-13,2023-12-17,qhvaQijkLhsPijsaqHoOfBcOxCjywXYwmEVOQyKW,XBGrrTrkNAVTmkjYkuLLkqHRHqWtBMVgLPjFlxTJ,53151.28,97855.45,10313.33,77249.97,2132.82,39511.54,18939.71,35665.37,38630.59,88.34,watermelon,2023,12,XBGrrTrkNAVTmkjYkuLLkqHRHqWtBMVgLPjFlxTJ,70853.87,70853.87,70853.87,2020.0,2020.0,10.0,10.0,10.0,70853.87,1.0,,,,,,,5.0,5.0,14170.774,0.2,0.6614699331848553,0.4510022271714922,0.839086859688196,Peter,Orange
281,281,2024-12-18,2025-08-16,sudMFyAAMasBbKdsnYDgnWpUpJDFkFbzSIRFUXCq,gLpXGmpXDVKtvIPhpeJRBkLJXAftREMtDFlKzvwK,9704.71,18084.45,58688.18,42659.52,70751.31,26444.59,3029.35,31514.04,17623.36,54.18,zucchini,2025,12,gLpXGmpXDVKtvIPhpeJRBkLJXAftREMtDFlKzvwK,77078.92,77078.92,77078.92,2023.0,2023.0,8.0,8.0,8.0,77078.92,1.0,,,,1.0,77078.92,77078.92,2.0,2.0,38539.46,0.5,0.7249443207126949,0.4510022271714922,0.41648106904231624,Gary,Gold
282,282,2024-04-29,2025-04-21,EuXEDgqqJxFQOzslauUWQdGiAvzCxhOpmjyOUbZL,mCCCmHUAGJiFiyQUpuAONUCJvbraNHOadiKaJgii,84162.29,59419.53,37576.93,11898.78,60167.69,94782.89,77080.8,94384.46,32557.84,94.41,church,2025,4,,,,,,,,,,,,,,,,,,,,,,,,,,
283,283,2024-04-15,2025-08-05,koieSzVfgKZmsClcrpnSimZgIGVNNnEdZqgQpyjl,hYfygnDHiLFJvfsaiiMMGWxSsQlRcecwCKQHXXce,22529.05,41993.47,93807.74,14559.8,63651.2,25588.18,78218.12,35498.46,87374.14,31.44,religious institution,2025,4,,,,,,,,,,,,,,,,,,,,,,,,,,
284,284,2024-01-04,2023-09-15,zognKOrHaKdkorvqyDiEcbKXyBnaRdmGMyTxdRnm,NkRsaRszpZzFJOAIVidJYuBVFCQBjvSCmJQyXYlu,32783.36,11092.11,13599.04,81648.57,86144.07,56727.49,35746.45,91702.41,79368.64,21.27,Family,2023,1,NkRsaRszpZzFJOAIVidJYuBVFCQBjvSCmJQyXYlu,3086.58,3086.58,3086.58,2019.0,2019.0,10.0,10.0,10.0,3086.58,1.0,,,,,,,6.0,6.0,514.43,0.16666666666666666,0.02783964365256125,0.4510022271714922,0.9548997772828508,Beth,Red
285,285,2025-10-09,2023-10-03,oglucYsdcqRAvdYZOgGJHsWkIlmYykbOJXrTBlgx,ALuNJHcNCuKuCyIlKBYBMeHDRITkHGsLblWFPcTR,76997.95,13960.63,62905.57,62685.29,64880.44,30691.77,20594.26,66108.32,49448.94,48.61,Family,2023,10,ALuNJHcNCuKuCyIlKBYBMeHDRITkHGsLblWFPcTR,17593.11,17593.11,17593.11,2023.0,2023.0,7.0,7.0,7.0,17593.11,1.0,,,,1.0,17593.11,17593.11,2.0,2.0,8796.555,0.5,0.133630289532294,0.4510022271714922,0.41648106904231624,Yara,Light Blue
286,286,2024-10-21,2023-04-15,asQDvXKtiSPWWQfioSTcBoHUTFpPyJTvKhXtdisS,XvuAkKDhEZyJBrBkBqmuFcLrFmKKmjXwlzasHpbI,1166.83,53858.5,39825.19,24387.02,57566.52,8500.77,82604.16,7847.84,11585.11,83.18,xigua,2023,10,XvuAkKDhEZyJBrBkBqmuFcLrFmKKmjXwlzasHpbI,24221.5,83020.3,53620.9,2020.0,2024.0,10.0,10.0,10.0,107241.8,2.0,1.0,24221.5,24221.5,,,,5.0,1.0,21448.36,0.4,0.9565701559020044,0.9454342984409799,0.26447661469933187,Gary,Gold
287,287,2025-04-11,2024-09-27,VYqvYjSBjCRcOwBUOUveoMuQXxprszQKlCJqnuSw,lHIGxUCgvfoElmkfhGaANOQpPILXnQZVARrZWFfk,64660.83,67234.94,32345.86,6489.4,12501.61,79527.6,9089.21,97908.99,28469.67,55.89,zucchini,2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,
288,288,2024-05-16,2023-07-10,MUwWrpcRGDdqdHYtIqTGwadXcAgTZJmKnNcdbROu,PWdKWYjwLBpXlFRpARRSarFEfleePUVKOtnPaiMU,20253.07,46366.12,62018.9,56261.72,7746.92,21228.88,22741.39,61954.94,6.96,84.45,zucchini,2023,5,PWdKWYjwLBpXlFRpARRSarFEfleePUVKOtnPaiMU,74831.96,74831.96,74831.96,2020.0,2020.0,10.0,10.0,10.0,74831.96,1.0,,,,,,,5.0,5.0,14966.392000000002,0.2,0.7048997772828508,0.4510022271714922,0.839086859688196,Laura,Purple
289,289,2023-12-21,2024-10-25,LzHVQAraSNZQMqhixecPmddygPipOWrJrFNySmuL,KOFDKaKoYiINxHhDbcLiMfOmXoYFIjIZYyoyTBrt,28644.82,66498.84,37985.92,73026.88,89252.77,85725.52,78693.87,38477.9,4327.89,14.43,watermelon,2024,12,KOFDKaKoYiINxHhDbcLiMfOmXoYFIjIZYyoyTBrt,4445.13,4445.13,4445.13,2024.0,2024.0,4.0,4.0,4.0,4445.13,1.0,1.0,4445.13,4445.13,,,,1.0,1.0,4445.13,1.0,0.034521158129175944,0.4510022271714922,0.26447661469933187,Yara,Light Blue
290,290,2025-07-09,2025-08-07,YmsHAHKZDUmMGJEKIQWMvxZAwRdfcteIHkVjZeGG,HbiRFXgAgcIEMAzBuDFoLWRmrhAmmlxhBYtgNRZA,50587.71,66576.45,99179.57,77237.74,13347.58,41821.78,1208.31,14224.77,63069.76,12.41,temple,2025,7,,,,,,,,,,,,,,,,,,,,,,,,,,
291,291,2023-04-14,2024-04-03,URUiGgXkOjQxaIqHMQZIQqugLhSfjSuMDtaWvySM,xONGJiusKcUwcfuPwbBjHOiBfYIJfsBdpcDIrnTI,70300.15,89013.72,44935.34,94430.42,45349.64,96842.45,23845.07,99304.68,61558.45,21.94,Family Church,2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,
292,292,2025-04-29,2023-08-25,ftQTijWBHFXCuAwTxOjShIJIOghUquoMQobQDfjn,jEzJednDnxxBixnGPEQnQwAYqVGqxEAyZXIkoETd,58669.42,21316.11,4288.13,83503.11,13324.33,70582.15,83007.81,37807.21,23749.93,67.95,Family Church,2023,4,jEzJednDnxxBixnGPEQnQwAYqVGqxEAyZXIkoETd,49449.69,49449.69,49449.69,2021.0,2021.0,10.0,10.0,10.0,49449.69,1.0,,,,,,,4.0,4.0,12362.4225,0.25,0.44543429844098,0.4510022271714922,0.7065701559020044,Peter,Orange
293,293,2025-02-13,2024-01-25,wnldtiMcfDhRilVJwQwHLCPUWGJqzLsWaEHXQMFX,GvxPwaEMdUUrJViMhkGHMMRJhCxJXDsbSjiFaEzK,67195.95,51628.5,8334.72,44776.7,60401.91,89179.03,71214.97,41916.04,51465.8,95.04,temple,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
294,294,2025-02-01,2024-04-30,BHfmOFZEWHQVMNxtLAmuanvVOSlDrYqxCIHdFZpD,RcScafsCbVWDDjIkDAQVfJUBWDFdNUgFzqqMSKPE,69201.52,79723.53,43857.17,96484.52,43891.42,25906.03,44346.44,98549.9,32581.23,56.9,temple,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
295,295,2023-04-22,2024-02-05,rldabQNlUwJXRIRulNcqHKJpVtNwWKiONlfiydyd,MlDEHUNzwocPNvzwpyrENtStTYMNKLbOjxLozAgN,48754.62,74001.15,47318.0,88767.61,42295.95,1160.27,15413.78,23096.83,6385.47,8.51,church,2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,
296,296,2025-07-18,2025-05-27,FwonhsaekZEMEUzYqSfKFDZIhmBbwyPpMaQXlcAR,zsnjPyiawJOFBeKKZHBSBprEOXaqKOwWDrsQUEsp,79894.4,36906.83,26606.79,71848.83,48698.99,10530.68,85945.99,9487.26,21508.8,2.22,Family,2025,7,,,,,,,,,,,,,,,,,,,,,,,,,,
297,297,2025-09-30,2024-10-19,AtsXwbuMWSFztIQjtPbfhHCmQcSnOUKyAOXyLTOP,eFDbkWffghRhoFZZPmgQOenmRbpWrbnYAiZgUuBJ,71043.01,43500.02,14389.99,36074.85,7245.67,76663.91,88291.11,21595.41,51616.32,17.22,Family,2024,9,eFDbkWffghRhoFZZPmgQOenmRbpWrbnYAiZgUuBJ,38817.02,38817.02,38817.02,2025.0,2025.0,1.0,1.0,1.0,38817.02,1.0,,,,,,,0.0,0.0,inf,inf,0.34855233853006684,0.4510022271714922,0.10523385300668152,Ryan,Green
298,298,2024-05-28,2024-01-18,NUoNJguIftFSwztecAEITnHumkVvSNhsbfGgyyMv,izVeADiCusSImiQSUiZHvkLumMPJDXDQmrFcnhhx,3735.95,33974.54,63521.68,239.52,72296.47,60541.74,43415.12,1554.38,41484.15,96.11,Family Church,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,
299,299,2023-10-19,2025-12-16,URtcgYVdyEHIatonmrzXLOizFfvBKVwgacmyQTMm,vtssEwmRLmDUqBtmoylThDYjIvUEbUUBeQjUevQc,26908.36,12931.07,98802.6,60765.12,53856.01,66075.47,29776.28,81032.19,17901.61,10.62,church,2025,10,vtssEwmRLmDUqBtmoylThDYjIvUEbUUBeQjUevQc,68919.8,68919.8,68919.8,2024.0,2024.0,1.0,1.0,1.0,68919.8,1.0,1.0,68919.8,68919.8,,,,1.0,1.0,68919.8,1.0,0.6458797327394209,0.4510022271714922,0.26447661469933187,Ryan,Green
300,300,2025-02-09,2024-12-30,XAVntIKBBDOGsoBizaZhUpCWcPijGzYVQzMFYsxX,FnQTAHbnroTfaawaVJhwhSsZVkBDGLqaTrAuhEru,13791.54,76588.98,10114.03,64477.28,93192.11,71211.77,79586.04,1952.63,84617.32,47.92,xigua,2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
301,301,2024-04-28,2026-02-12,zetuMgKPJEvQslklQHvPWywqsfYsSgPxoCVVaipb,OcVAvprggrWRotawqzCbdZXuozYQOtTHFkneSHYX,12718.74,87403.45,3739.58,23278.7,66224.88,13442.95,42446.15,69464.02,29129.4,77.39,religious institution,2026,4,,,,,,,,,,,,,,,,,,,,,,,,,,
302,302,2025-03-30,2025-04-17,xZzydrrQduvSgIrnCiRekFgthFRtbgiABLdoYVDM,OexZRZIdhezQhnPRporzaQImmkQLdHEQeMQfTeiG,26332.11,84344.21,75421.85,19557.55,86215.28,6762.0,94242.01,71725.28,8997.3,23.07,church,2025,3,,,,,,,,,,,,,,,,,,,,,,,,,,
303,303,2024-12-14,2025-10-22,VaGhMVQOZxvcQnxOWnqIlLdaeJaXkKWHLOfpSlFf,QgiEEXntScYbaNSmYmZIPyzzXOMvbnBBrtKTzKXP,77774.86,82504.43,68187.24,3782.36,52321.04,60904.69,80820.78,71624.08,49738.98,37.42,church,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,
304,304,2026-02-12,2023-09-07,OqZIYaEhLaaEpKUvDHKotAisFtEbusMVdIbPSJuA,hQTeFDtkcfGbMKTzGshRwHOQqScXgTtRpeRasliP,45940.17,20252.57,1761.47,34024.39,20498.62,22406.62,25894.88,23717.4,27189.92,48.01,religious institution,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,
305,305,2023-12-02,2025-03-02,pTrwsSCeKIcrvERJmEJTYYSdcnvARYAHHOeMkwJJ,vSmtdahBHBGVHNxIkrvBiquiQlOYLRhXdfHcfOOj,38298.0,79335.96,56941.35,72526.61,92563.91,52486.3,90232.88,38036.72,70591.26,28.08,Family Church,2025,12,vSmtdahBHBGVHNxIkrvBiquiQlOYLRhXdfHcfOOj,65791.59,65791.59,65791.59,2021.0,2021.0,7.0,7.0,7.0,65791.59,1.0,,,,,,,4.0,4.0,16447.8975,0.25,0.6124721603563474,0.4510022271714922,0.7065701559020044,Peter,Orange
306,306,2025-08-13,2024-04-23,vVAROBFkZtXylzznYfxILzPTToItVaUXYwivWIMS,IVdXNNyqNpwrWUKJuDIVFVKUzSWFfYccQimGgqvf,38043.64,58193.1,99560.12,63940.73,59933.97,82685.66,20950.15,94086.5,59927.27,32.37,temple,2024,8,IVdXNNyqNpwrWUKJuDIVFVKUzSWFfYccQimGgqvf,24329.88,24329.88,24329.88,2019.0,2019.0,9.0,9.0,9.0,24329.88,1.0,,,,,,,6.0,6.0,4054.98,0.16666666666666666,0.20601336302895323,0.4510022271714922,0.9548997772828508,Beth,Red
307,307,2025-07-26,2023-07-25,WWbftulfrVxGlyCKXkWKaLaxzyOGqPrGTVxXdcjj,LdANPhhkVuVyKKHeTldKNYAfLmQGFLVhDtPLLGGW,68372.14,95918.3,13088.32,11748.84,68864.34,79711.58,57789.29,18792.33,48341.3,74.48,religious institution,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,
308,308,2024-10-05,2023-08-17,RfhkUHmXIBBISHHvQzqWbGojRsJBDcUAKHhboDnr,LlQtdywTfLXGwsJAXaxdGjiCraWAqpdUYgOWLhlD,73492.76,41992.72,74495.73,94516.57,3987.78,74333.21,48443.98,88800.95,83166.32,81.46,xigua,2023,10,,,,,,,,,,,,,,,,,,,,,,,,,,
309,309,2024-07-05,2025-09-24,ZGdORvwlYJDJvykLLJPQWZhgqeryzynydqYVSSxZ,VyOyXMVxmEBYRBThCDfzGDXZfUAAtXBpGRTfuUZk,22344.54,18160.64,87867.44,1371.86,58083.15,1681.44,63115.69,54034.06,52900.39,31.02,zucchini,2025,7,,,,,,,,,,,,,,,,,,,,,,,,,,
310,310,2023-07-01,2026-03-11,JAALLJtztywVrNONEySBmjoAwXxvStCpdeAYwtap,NuUqwVHPftbUUetNORPdjFCKWGRZctUOuSkILemO,1537.99,55141.36,59418.82,7302.44,70403.01,39055.64,42263.31,48231.92,30205.58,14.39,religious institution,2026,7,NuUqwVHPftbUUetNORPdjFCKWGRZctUOuSkILemO,76590.01,76590.01,76590.01,2024.0,2024.0,12.0,12.0,12.0,76590.01,1.0,1.0,76590.01,76590.01,,,,1.0,1.0,76590.01,1.0,0.7193763919821826,0.4510022271714922,0.26447661469933187,Gary,Gold
311,311,2025-08-18,2024-10-30,nJRqTNyvLfVfgbuNBbBpehNfefpOLsRAdmlMLHSh,HSbGonKcxquVqhTQreIODvffccgRmmySyvIIirOZ,31648.47,32996.76,24668.93,98653.81,75535.29,75774.74,92906.91,62908.43,79082.88,8.89,church,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,
312,312,2024-08-06,2025-02-24,vEvyMZPdgiLnjJgEwrunnGQjfaEsntzkZNNIZmhp,SIIKJjRUhinjswRpjrqMXthNueKBARYtbqkJDPSf,74107.91,70169.3,63270.89,47905.34,75967.18,60473.27,28038.32,52338.84,43051.61,93.64,Family Church,2025,8,,,,,,,,,,,,,,,,,,,,,,,,,,
313,313,2024-02-15,2026-02-23,cUfhDwZvwItgBignklJhJOWffYPrRwBNiswBGXNF,fWilacMnXHBDWWTrzjXTGgdrySCJHjcjFgAsunmG,76024.36,45446.22,95035.27,3732.15,51109.28,96557.24,72167.95,40622.47,88411.02,12.83,zucchini,2026,2,,,,,,,,,,,,,,,,,,,,,,,,,,
314,314,2023-12-23,2024-03-04,odzIrEyDenXQqiBqBAYOIUpTfFskucKCoIqLHaiP,CfQviXCDShigJoOVWFwqKBMRDSoDWNmUpTYLFOHm,61882.47,63985.31,4910.45,83766.06,5302.03,29993.57,15967.8,15875.35,83613.98,17.92,xigua,2024,12,CfQviXCDShigJoOVWFwqKBMRDSoDWNmUpTYLFOHm,75577.51,75577.51,75577.51,2019.0,2019.0,9.0,9.0,9.0,75577.51,1.0,,,,,,,6.0,6.0,12596.251666666665,0.16666666666666666,0.7104677060133631,0.4510022271714922,0.9548997772828508,Laura,Purple
315,315,2024-02-12,2023-12-04,ovRFLxmWJnbFfcYjqQruYDOdcofJpfhXFkernutW,TslRKpkVynnqjBMnNkLukoumYhjtBAbgyFXdkXfJ,83800.9,59771.87,29836.14,45094.74,12568.03,24187.97,71051.67,80790.65,17106.28,79.02,Family Church,2023,2,TslRKpkVynnqjBMnNkLukoumYhjtBAbgyFXdkXfJ,59481.35,59481.35,59481.35,2021.0,2021.0,4.0,4.0,4.0,59481.35,1.0,,,,,,,4.0,4.0,14870.3375,0.25,0.5478841870824054,0.4510022271714922,0.7065701559020044,Peter,Orange
316,316,2025-04-21,2025-04-19,FUgoupZWofpaHIoLmTneuOLuAYPkezJMhUQBkCrv,LnFuGeERjXCETqWcSgevYlSMmwjBzTgDoWAGhngS,54711.69,79894.16,6518.08,64563.81,96069.14,34454.0,17046.63,69050.18,27199.99,88.9,zucchini,2025,4,,,,,,,,,,,,,,,,,,,,,,,,,,
317,317,2023-11-19,2024-05-18,cZTkqhzAneKTuftOdKVlXYIAdMfZvKtiNKQTdBdc,dGTvVgpTUMNJFnqIBpOpEGqaiVPkgvtbfINsotSS,66442.59,7601.96,26823.03,4619.15,68820.05,17550.61,27974.77,18093.07,30436.05,31.42,religious institution,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,
318,318,2023-07-18,2023-11-16,tLtjihxFQwYbUnlTPXASXjYwmIKPNfCzLyweueub,LABqCWpFnnikMKYPwTQFHWPytspKDWYvkSDkGbzk,37914.28,34767.6,87727.43,17818.41,74429.91,46891.49,35411.96,2724.46,15572.88,10.91,zucchini,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,
319,319,2025-06-13,2025-01-07,CQDisYKJMqjHyBENYPxdSrDRcZtWkADFvGclmdZw,POjEqgQvryYDXaTWMYqGWTGZIBbvcbwfziXTtJCl,78121.72,62207.68,20297.88,20411.01,15117.46,97187.86,93781.42,12558.91,25216.51,35.36,zucchini,2025,6,,,,,,,,,,,,,,,,,,,,,,,,,,
320,320,2024-04-06,2024-12-12,TfIWEWPvGrnAhadgtPsZBEIjENZHkmktXwjvIcQG,tJYcSnhqtuWZIreBdAzApHimeaBQNuSzZFhjCHEN,55680.97,44356.18,97041.1,2587.2,84036.6,57943.94,19974.4,28648.04,23750.78,3.98,zucchini,2024,4,,,,,,,,,,,,,,,,,,,,,,,,,,
321,321,2025-05-13,2026-01-31,LwxaFcanIlsVAExJGgIIgbvGWOlMcDUEtKSRzUzY,koOVMSowCFTheLMBGrzhqIsTqMdTyioKnOSVnMae,81134.46,81901.83,67187.64,75370.75,32241.34,43875.91,90554.38,14931.04,859.26,28.02,church,2026,5,,,,,,,,,,,,,,,,,,,,,,,,,,
322,322,2025-01-07,2025-02-19,ifDMLQGgCAYQhBOcbQVUVYYwtCNAmrqOJCSesHiy,zApMAoFDFjPioKOMymbmjOpZeeiVxaIdNpZznRPX,24770.34,60718.24,30937.79,43695.52,46631.83,1122.52,48418.77,78598.41,2358.73,59.77,religious institution,2025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
323,323,2023-04-02,2024-07-03,UnAKnWMvyITPmkjDJbqwzeeiihScGdefFGPHCZkK,qHdftBNNPvRUGNbcDPbqfjdBxzhABgAXWAihCZcr,45057.47,64123.57,82826.51,24133.91,12688.48,92381.57,57110.8,33272.7,95725.61,36.72,Family Church,2024,4,qHdftBNNPvRUGNbcDPbqfjdBxzhABgAXWAihCZcr,89672.46,89672.46,89672.46,2022.0,2022.0,10.0,10.0,10.0,89672.46,1.0,,,,,,,3.0,3.0,29890.820000000003,0.3333333333333333,0.8363028953229399,0.4510022271714922,0.5662583518930958,Laura,Purple
